,Username,Time,Message,Reply,Like,Dislike
10,jedif41650,1654073058370.0,Do you think Bitcoin AND Ethereum will ever be overtaken by any other project&#39;s market capitalization? I have seen a lot of people asking this question.,,0,1
11,hwnef6dbly8s,1654064965443.0,has anyone tried BITEO B250C motherboard?,,0,0
12,pedrossucapeloy,1654064706707.0,"Eu acho que Bitcoin veio para ajudar-nos d&#234; uma forma direta e sou grato por isso...<br/><br/>Apesar de ser novo, estou a ter m&#225;xima no&#231;&#227;o a cada dia que passa.",,1,0
13,bazgaye129212,1654049118507.0,Waiting eagerly for $32500 just a matter of few hours now 32500 &gt;&gt;&gt;&gt;&gt; 35K ✌,,0,0
14,DOGE8DACOIN,1654046038310.0,"Wow, Giddy Up BTC before I Dua Lipa!!!! Wowf wowf<br/>https://media.giphy.com/media/XEbH3gJ7tqJQXKKiEc/giphy.gif",,5,0
15,awilson,1654044483980.0,"https://i.postimg.cc/qRz3tLc8/cnun.jpg<br/>Now that we have the official and on-site report of what&#39;s truly going on in China, that being nothing more or less than security measures implemented as a result to the 2008&#39;s Xingjiang brutal riots on Han Chinese, which left several hundreds beheaded and brutally murdered (as we all knew already), it goes without saying the exposure of the scammers&#39; ill campaign and lies about their called-for &#39;genocide&#39;. &quot;They now want her out for revealing the truth to you&quot;.<br/><br/>This inevitably has positive impact on the AP region as investors now feels safer. Lockdowns slowly being lifted up ramps this up too. Markets are reacting, so is Bitcoin!!!<br/><br/>Advocates denounce UN official&#39;s China visit as &quot;ultimate betrayal&quot;<br/>https://www.axios.com/2022/05/31/advocates-denounce-un-officials-china-visit-ultimate-betrayal",,1,1
16,bb1010,1654044032663.0,https://i.postimg.cc/k5M8C9BY/20220601-023835.jpg<br/><br/>https://twitter.com/GoingParabolic/status/1531073242278117376?t=ayMw4AAgOtJift_wkDhREw&amp;s=19,,9,0
17,DamageInc,1654032374167.0,"2012 vs. 2022<br/>Gold $1800 =&gt; $1800<br/>Dow Jones 13,000 =&gt; 32,000<br/>The Bitcoin $10 =&gt; $32,000<br/>And it is not even engulfed 5% of its remaining targets: national bank reserves and pension funds. Investment funds entered the game and we saw 1000% growth. That was only the begining. Expect at least $500k price within 5 years. The thing is inflation-proof, government-proof, hack-proof, China-proof and IMF and FED proof. The best storage of wealth! Time works for Bitcoin.",,10,0
18,CujoLuna,1654023252290.0,"S&amp;P 500 - <br/>High - 4818 1/21<br/>Low - 3810 5/22<br/>25% Drop<br/><br/>Nasdaq -<br/>High - 16,212 11/21<br/>Low - 11,035 5/22<br/>25% Drop<br/><br/>Dow -<br/>High - 36,952 11/21<br/>Low - 30,635 5/22<br/>19% Drop<br/><br/>&quot;A recession is a macroeconomic term that refers to a significant decline in general economic activity in a designated region. It had been typically recognized as two consecutive quarters of economic decline&quot;<br/><br/>https://www.investopedia.com/terms/r/recession.asp<br/><br/>&quot;While “standard recessions” cause an average 26% drop in peak-to-trough earnings, the S&amp;P 500 saw a peak-to-trough earnings decline of 57% during the “Great Recession” ending in 2009, according to the note.&quot;<br/><br/>https://www.marketwatch.com/story/investors-havent-begun-to-price-in-recession-heres-how-far-the-s-p-500-could-fall-11652204827<br/><br/>Honey, are we there yet?<br/><br/>https://www.youtube.com/watch?v=7MHlTgJeock",,1,0
19,MasterOfChess,1654017396347.0,"time to get back to 25K, this little pump is just a waste of time and delaying the inevitable to the down side.",,2,6
